Unnamed: 0,LICENSE NUMBER,PROVIDER NAME,PROVIDER SERVICE TYPE,STREET ADDRESS,CITY,STATE,ZIP,COUNTY,ECC,CCRR,SCHOOL DISTRICT OPERATED PROGRAM,SCHOOL DISTRICT,QUALITY RATING,QUALITY RATING EFFECTIVE DATE,QUALITY RATING EXPIRATION DATE,CCCAP FISCAL AGREEMENT STATUS,CCCAP AUTHORIZATION STATUS,TOTAL LICENSED CAPACITY,LICENSED HOME CAPACITY,LICENSED CENTER INFANT CAPACITY,LICENSED CENTER TODDLER CAPACITY,LICENSED CENTER PRESCHOOL CAPACITY,LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY,LICENSED SCHOOL AGE CAPACITY,LICENSED NYO CAPACITY,LICENSED RESIDENT CAMP CAPACITY,GOVERNING BODY
2507,102673,Carrie Taylor,Large Family Child Care Home,,Aurora,CO,80017,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,AURORA,1.0,,,True,False,12.0,,,,0.0,12.0,,,,
2508,1504664,Tara Romero,Family Child Care Home,,Pueblo,CO,81001,Pueblo,Pueblo Early Childhood Council,Childrens First,False,Dist 60,2.0,2024-09-19,2027-09-19,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2509,50954,Lori Luzano,3 under 18 Months Family Child Care Home,,Fort Collins,CO,80528,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,Poudre School District,2.0,2023-03-21,2026-03-21,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2510,1540821,Susan Arnold,3 under 18 Months Family Child Care Home,,Littleton,CO,80127,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2511,1554081,BRIGGSDALE PRESCHOOL,Preschool Program,515 Leslie ST,Briggsdale,CO,80611,Weld,Weld County’s Early Childhood Council,Promises for Children,True,,1.0,,,False,False,20.0,,,,20.0,0.0,,,,
2512,1506025,Creative Options Center for E.E./CP of Colorado,Child Care Center,852 Jamaica,Aurora,CO,80010,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,Aurora Public School District,4.0,2024-07-26,2028-06-30,True,False,61.0,0.0,0.0,41.0,20.0,0.0,0.0,0.0,0.0,corporation
2513,70484,Marcella VanRoekel,3 under 18 Months Family Child Care Home,,Frederick,CO,80530,Weld,Weld County’s Early Childhood Council,Promises for Children,False,School District RE1J (St Vrain),1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2514,71792,Marla Adams,3 under 18 Months Family Child Care Home,,Littleton,CO,80128,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,JEFFERSON COUNTY R-1,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2515,46248,CHILDREN'S MINI COLLEGE,Child Care Center,1402 Blake Ave,Glenwood Springs,CO,81601,Garfield,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,True,RE-1,5.0,2023-11-30,2026-11-30,True,True,32.0,,,,32.0,0.0,,,,
2516,86411,Diane Thompson,Experienced Family Child Care Home,,Fort Collins,CO,80525,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,,1.0,,,False,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2517,1657645,Jacqueline Reel,Experienced Family Child Care Home,,Colorado Springs,CO,80911,El Paso,Alliance for Kids,Alliance for Kids,False,WIDEFIELD 3,2.0,2022-11-30,2025-11-30,False,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2518,1555916,Cinthia Rundberget,Family Child Care Home,,Thornton,CO,80233,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Adams 12,2.0,2025-03-13,2028-03-13,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2519,86403,DOUGLAS CTY SCHL ACRES GREEN PRESCHL,Preschool Program,13524 N Acre Green DR,Littleton,CO,80124,Douglas,Douglas County Early Childhood Council,Child Care Innovations,True,Douglas County School District,3.0,2024-03-04,2026-06-01,True,False,40.0,,,,40.0,0.0,,,,
2520,80520,OUR LADY OF FATIMA EARLY LEARNING CENTER,Child Care Center,10530 W 20th AVE,Lakewood,CO,80215,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,81.0,,,,0.0,81.0,,,,
2521,1585121,Sabrina Fulks,Experienced Family Child Care Home,,Castle Rock,CO,80104,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,DOUGLAS COUNTY SCHOOL DISTRICT,2.0,2025-03-06,2028-03-06,False,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2522,104905,FRONTIER PRESCHOOL,Preschool Program,3755 Meadow RDG,Colorado Springs,CO,80920,El Paso,Alliance for Kids,Alliance for Kids,True,,1.0,,,False,False,30.0,,,,30.0,0.0,,,,
2523,47304,LA PETITE ACADEMY,Child Care Center,17001 E Iliff AVE,Aurora,CO,80013,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,ADAMS-ARAPAHOE 28J,4.0,2023-02-15,2025-11-30,True,True,99.0,0.0,0.0,20.0,0.0,79.0,0.0,0.0,0.0,
2524,1538991,Marie Kargar,Large Family Child Care Home,,THORNTON,CO,80602,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Adams 12,1.0,,,True,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
2525,80530,SAINT JAMES CATHOLIC SCHOOL,Preschool Program,1250 Newport ST,Denver,CO,80220,Denver,Denver's Early Childhood Council,Denver's ECC,False,DENVER PUBLIC SCHOOLS,1.0,,,False,False,50.0,,,,50.0,0.0,,,,
2526,11923,SINGING HILLS PRESCHOOL,Child Care Center,41012 Madrid DR,Parker,CO,80138,Elbert,Elbert County Early Childhood Council,Alliance for Kids,True,Elizabeth School District,5.0,2025-05-31,2028-05-31,True,False,80.0,,,,80.0,0.0,,,,
2527,105167,Summer Griffin,Family Child Care Home,,Thornton,CO,80233,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,ADAMS 12,1.0,,,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2528,98728,Elizabeth Decker,Experienced Family Child Care Home,,Highlands Ranch,CO,80126,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,DOUGLAS COUNTY RE 1,2.0,2024-09-26,2027-09-26,True,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2529,23841,Felecia Brown,Family Child Care Home,,Denver,CO,80205,Denver,Denver's Early Childhood Council,Denver's ECC,False,Clayton,1.0,,,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2530,85049,DPS ECE Smith Elementary School,Child Care Center,3590 Jasmine St,Denver,CO,80207,Denver,Denver's Early Childhood Council,Denver's ECC,True,Denver Public Schools,4.0,2023-04-12,2026-01-31,False,False,120.0,,,,120.0,0.0,,,,
2531,1629869,KEN-CARYL RANCH METRO DISTRICT,Child Care Center,1 Club DR,Littleton,CO,80127,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County School District,3.0,2023-01-31,2026-01-31,False,False,50.0,,,,50.0,0.0,,,,
2532,80685,MELANY JOHNSON,Large Family Child Care Home,,Longmont,CO,80504,Weld,Weld County’s Early Childhood Council,Promises for Children,False,Mead District,1.0,,,False,False,8.0,8.0,0.0,0.0,,,0.0,0.0,0.0,
2533,1553535,RIDGWAY ELEMENTARY,Child Care Center,1115 W Clinton,Ridgway,CO,81432,Ouray,Bright Futures,Bright Futures,True,Ridgway School District R-2,2.0,2024-12-16,2027-12-16,True,True,36.0,,,,36.0,0.0,,,,
2534,1622131,Baby Girl Bowden,Large Family Child Care Home,,Colorado Springs,CO,80911,El Paso,Alliance for Kids,Alliance for Kids,False,,2.0,2024-02-08,2027-02-08,False,False,12.0,,,,0.0,12.0,,,,
2535,18720,KATHRYN SENOR ELEMENTARY PRESCHOOL,Child Care Center,101 Alder Avenue,New Castle,CO,81647,Garfield,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,True,RE 2,2.0,2022-09-20,2025-09-20,True,False,40.0,,,,0.0,40.0,,,,
2536,44295,KINDERCARE LEARNING CENTERS LLC,Child Care Center,9290 Ridgeline BLVD,Highlands Ranch,CO,80129,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,Douglas County School District,4.0,2021-11-24,2026-12-01,True,True,142.0,0.0,30.0,42.0,0.0,70.0,0.0,0.0,0.0,
2537,84242,MONTE VISTA PUBLIC SCHOOL DIST PRS,Child Care Center,215 Lyell ST,Monte Vista,CO,81144,Rio Grande,Early Childhood Council of the San Luis Valley,ECC SLV,True,Monte Vista School District,2.0,2025-08-14,2028-08-14,True,True,49.0,,,,0.0,49.0,,,,
2538,97578,PLATEAU VALLEY PRESCHOOL,Child Care Center,56600 Hwy 330,Collbran,CO,81624,Mesa,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,False,,2.0,2023-04-30,2026-04-30,False,False,24.0,,,,24.0,0.0,,,,
