county_fips,county_name,year,age_group,population,licensed_capacity,participation_rate,need_estimate,gap,gap_pct,severity,color_code,facility_count,data_source,last_updated
8049,Grand,2029,3-5,405,75,0.7,284,209,0.7359154929577465,Critical,#d32f2f,22,CO Open Data + CO Demography Office,2025-11-07
8051,Gunnison,2025,0-2,346,133,0.6,208,75,0.3605769230769231,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8051,Gunnison,2025,0-5,692,155,0.65,450,295,0.6555555555555556,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8051,Gunnison,2025,3-5,346,22,0.7,242,220,0.9090909090909091,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8051,Gunnison,2029,0-2,358,133,0.6,215,82,0.3813953488372093,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8051,Gunnison,2029,0-5,716,155,0.65,465,310,0.6666666666666666,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8051,Gunnison,2029,3-5,358,22,0.7,251,229,0.9123505976095617,Critical,#d32f2f,20,CO Open Data + CO Demography Office,2025-11-07
8053,Hinsdale,2025,0-2,14,7,0.6,8,1,0.125,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8053,Hinsdale,2025,0-5,28,15,0.65,18,3,0.16666666666666666,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8053,Hinsdale,2025,3-5,14,8,0.7,10,2,0.2,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8053,Hinsdale,2029,0-2,14,7,0.6,8,1,0.125,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8053,Hinsdale,2029,0-5,28,15,0.65,18,3,0.16666666666666666,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8053,Hinsdale,2029,3-5,14,8,0.7,10,2,0.2,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8055,Huerfano,2025,0-2,195,13,0.6,117,104,0.8888888888888888,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8055,Huerfano,2025,0-5,390,65,0.65,254,189,0.7440944881889764,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8055,Huerfano,2025,3-5,195,52,0.7,136,84,0.6176470588235294,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8055,Huerfano,2029,0-2,202,13,0.6,121,108,0.8925619834710744,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8055,Huerfano,2029,0-5,404,65,0.65,263,198,0.752851711026616,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8055,Huerfano,2029,3-5,202,52,0.7,141,89,0.6312056737588653,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8057,Jackson,2025,0-2,28,0,0.6,17,17,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8057,Jackson,2025,0-5,56,15,0.65,36,21,0.5833333333333334,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8057,Jackson,2025,3-5,28,15,0.7,20,5,0.25,Significant,#f57c00,1,CO Open Data + CO Demography Office,2025-11-07
8057,Jackson,2029,0-2,29,0,0.6,17,17,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8057,Jackson,2029,0-5,58,15,0.65,38,23,0.6052631578947368,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8057,Jackson,2029,3-5,29,15,0.7,20,5,0.25,Significant,#f57c00,1,CO Open Data + CO Demography Office,2025-11-07
8059,Jefferson,2025,0-2,16852,5064,0.6,10111,5047,0.49915933142122443,Critical,#d32f2f,489,CO Open Data + CO Demography Office,2025-11-07
8059,Jefferson,2025,0-5,33703,8604,0.65,21907,13303,0.6072488245766193,Critical,#d32f2f,489,CO Open Data + CO Demography Office,2025-11-07
8059,Jefferson,2025,3-5,16851,3540,0.7,11796,8256,0.6998982706002035,Critical,#d32f2f,489,CO Open Data + CO Demography Office,2025-11-07
8059,Jefferson,2029,0-2,17451,5064,0.6,10471,5407,0.5163785693821029,Critical,#d32f2f,489,CO Open Data + CO Demography Office,2025-11-07
8059,Jefferson,2029,0-5,34901,8604,0.65,22686,14082,0.6207352552234858,Critical,#d32f2f,489,CO Open Data + CO Demography Office,2025-11-07
8059,Jefferson,2029,3-5,17450,3540,0.7,12215,8675,0.7101923864101515,Critical,#d32f2f,489,CO Open Data + CO Demography Office,2025-11-07
8061,Kiowa,2025,0-2,74,0,0.6,44,44,1.0,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8061,Kiowa,2025,0-5,148,15,0.65,96,81,0.84375,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8061,Kiowa,2025,3-5,74,15,0.7,52,37,0.7115384615384616,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8061,Kiowa,2029,0-2,77,0,0.6,46,46,1.0,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
